Bois	JIL	MessagePack	NET	NetJson	NewtonSoftJson	ServiceStack
641	512	598	0	0	854	1125
3103	2494	3160	0	0	5325	7145
6453	5486	6933	0	0	11294	17050
12373	10379	13024	0	0	22150	36333
24225	20381	25790	0	0	46004	70988
39122	30792	39450	0	0	68998	111116
55843	47089	55557	0	0	97158	140715
61868	54394	68236	0	0	109479	185431
77177	63659	82197	0	0	142011	207699
92634	73061	94761	0	0	157382	253212
113787	86903	119085	0	0	198452	295793
85632	65315	87368	0	0	147974	214354
113760	77613	104661	0	0	163406	256192
