Bois	JIL	MessagePack	NET	NetJson	NewtonSoftJson	ServiceStack
210	191	188	0	0	597	367
1067	833	997	0	0	1570	2348
2178	2083	2195	0	0	3902	6190
5158	3988	5240	0	0	7842	11153
8399	6786	8273	0	0	14220	25442
13245	10413	12947	0	0	23423	33247
15469	12500	16060	0	0	28819	43335
20570	15796	21044	0	0	34689	54536
26389	21546	26471	0	0	45173	1602970
29689	20867	29876	0	0	50076	80036
33594	25227	32385	0	0	57383	79974
33819	27309	36124	0	0	60246	88967
38887	26325	38135	0	0	62015	93733
