Bois	JIL	MessagePack	NET	NetJson	NewtonSoftJson	ServiceStack
21	11	12	0	0	21	22
79	62	69	0	0	122	156
164	129	163	0	0	270	385
284	257	302	0	0	533	778
565	478	632	0	0	1040	1728
882	729	990	0	0	1583	2535
1167	953	1236	0	0	2143	3641
1836	1391	2004	0	0	3118	4695
1797	1425	1887	0	0	3379	5289
2459	2331	2559	0	0	4447	6496
2770	2123	3027	0	0	6326	10499
5699	3634	6639	0	0	6244	16735
3908	3364	4054	0	0	8049	11284
