Bois	JIL	MessagePack	NET	NetJson	NewtonSoftJson	ServiceStack
10	3	2	0	0	5	6
22	14	17	0	0	26	34
39	29	35	0	0	59	90
64	59	61	0	0	110	168
123	114	120	0	0	218	343
180	164	188	0	0	329	499
234	220	261	0	0	453	648
297	277	325	0	0	562	818
361	334	391	0	0	661	1033
423	403	450	0	0	783	1216
496	433	528	0	0	897	1415
557	504	589	0	0	996	1546
619	547	667	0	0	1148	1810
