Bois	JIL	MessagePack	NET	NetJson	NewtonSoftJson	ServiceStack
54	39	42	0	0	51	88
179	226	227	0	0	545	472
484	422	423	0	0	725	1072
782	805	761	0	0	1646	2387
1380	1175	1419	0	0	2537	4143
2356	1996	2719	0	0	3925	6804
3153	2262	2871	0	0	5870	7965
3428	3092	3697	0	0	6155	9784
4553	3975	4587	0	0	7897	12254
7387	5902	6568	0	0	13067	15666
8018	6472	8290	0	0	14186	22026
9591	7698	9117	0	0	16388	25353
10456	8794	9574	0	0	19320	24947
