Bois	JIL	MessagePack	NET	NetJson	NewtonSoftJson	ServiceStack
354	330	334	0	0	526	608
1958	1481	1771	0	0	3085	4345
4102	3582	4259	0	0	7307	11495
8238	7683	9166	0	0	16124	25510
18130	13665	17557	0	0	27639	49925
23232	20915	27326	0	0	40451	85511
24875	30924	26547	0	0	68685	67202
31786	23642	34217	0	0	53085	87058
38425	28819	42177	0	0	67558	95082
71642	46178	73933	0	0	76982	199758
71469	53450	73986	0	0	119416	168687
89761	59307	94595	0	0	141858	234402
93305	69228	100183	0	0	162845	250459
